,siteID,setDate,collectDate,precipCalcium,precipCalciumFlag,precipCalciumUncertainty,precipMagnesium,precipMagnesiumFlag,precipMagnesiumUncertainty,precipPotassium,precipPotassiumFlag,precipPotassiumUncertainty,precipSodium,precipSodiumFlag,precipSodiumUncertainty,precipAmmonium,precipAmmoniumFlag,precipAmmoniumUncertainty,precipNitrate,precipNitrateFlag,precipNitrateUncertainty,precipSulfate,precipSulfateFlag,precipSulfateUncertainty,precipPhosphate,precipPhosphateFlag,precipPhosphateUncertainty,precipChloride,precipChlorideFlag,precipChlorideUncertainty,precipBromide,precipBromideFlag,precipBromideUncertainty,pH,pHUncertainty,precipConductivity,precipConductivityUncertainty,externalRemarks,labConditionRemarks,sampleMass,NEONsite
0,BART,2019-05-29T14:58Z,2019-06-10T20:10Z,0.049,,0.006,0.012,,0.002,0.035,,0.002,0.023,,0.002,0.186,,0.018,0.568,,0.005,0.244,,0.005,0.005,Below detection limit,0.006,0.02,,0.003,0,Below detection limit,0.004,5.34,0.1,4.3,0.4,,,293.7,BART
1,BART,2019-06-10T20:25Z,2019-06-24T18:09Z,0.009,,0.006,0.004,,0.002,0.009,,0.002,0.038,,0.002,0.006,Below detection limit,0.018,0.203,,0.005,0.072,,0.005,0.002,Below detection limit,0.006,0.05,,0.003,0,Below detection limit,0.004,5.23,0.1,3,0.4,,,767.5,BART
0,BART,2019-06-24T18:10Z,2019-07-08T14:55Z,0.029,,0.006,0.006,,0.002,0.011,,0.002,0.013,,0.002,0.149,,0.018,0.553,,0.005,0.242,,0.005,0.003,Below detection limit,0.006,0.028,,0.003,0,Below detection limit,0.004,5.23,0.1,4.6,0.4,,,632.38,BART
1,BART,2019-07-08T15:05Z,2019-07-22T14:25Z,0.017,Debris observed in sample,0.006,0.003,Debris observed in sample,0.002,0.021,Debris observed in sample,0.002,0.024,Debris observed in sample,0.002,0.094,Debris observed in sample,0.018,0.467,Debris observed in sample,0.005,0.208,Debris observed in sample,0.005,0.003,Below detection limit|Debris in sample,0.006,0.025,Debris observed in sample,0.003,0,Below detection limit|Debris in sample,0.004,5.1,0.1,4.7,0.4,,Bugs and plant,755.66,BART
0,BART,2019-07-22T14:31Z,2019-08-05T14:48Z,0.061,,0.006,0.009,,0.002,0.011,,0.002,0.049,,0.002,0.139,,0.018,0.551,,0.005,0.316,,0.005,0.004,Below detection limit,0.006,0.025,,0.003,0,Below detection limit,0.004,5.07,0.1,5.4,0.4,,,252.14,BART
1,BART,2019-08-05T15:00Z,2019-08-26T18:14Z,0.025,,0.006,0.006,,0.002,0.008,,0.002,0.044,,0.002,0.089,,0.018,0.532,,0.005,0.263,,0.005,0.002,Below detection limit,0.006,0.037,,0.003,0,Below detection limit,0.004,4.94,0.1,6,0.4,,,1024.87,BART
0,BART,2019-08-26T18:19Z,2019-09-03T15:02Z,0.016,,0.006,0.004,,0.002,0.002,,0.002,0.024,,0.002,0.008,Below detection limit,0.018,0.193,,0.005,0.09,,0.005,0.002,Below detection limit,0.006,0.037,,0.003,0,Below detection limit,0.004,5.17,0.1,3,0.4,,,602.05,BART
1,BART,2019-09-03T15:03Z,2019-09-16T19:51Z,0.179,,0.006,0.041,,0.002,0.015,,0.002,0.057,,0.002,0.502,,0.018,1.201,,0.005,0.762,,0.005,0.034,,0.006,0.063,,0.003,0,Below detection limit,0.004,5.91,0.1,7.4,0.4,,,78.73,BART
2,BART,2019-09-16T19:59Z,2019-09-30T21:47Z,0.09,,0.006,0.02,,0.002,0.013,,0.002,0.097,,0.002,0.22,,0.018,0.577,,0.005,0.441,,0.005,0.003,Below detection limit,0.006,0.087,,0.003,0,Below detection limit,0.004,5.34,0.1,5,0.4,,,127.6,BART
0,BART,2019-09-30T17:57Z,2019-10-15T14:14Z,0.05,Debris observed in sample,0.006,0.017,Debris observed in sample,0.002,0.016,Debris observed in sample,0.002,0.128,Debris observed in sample,0.002,0.148,Debris observed in sample,0.018,0.537,Debris observed in sample,0.005,0.308,Debris observed in sample,0.005,0.003,Below detection limit|Debris in sample,0.006,0.168,Debris observed in sample,0.003,0.002,Below detection limit|Debris in sample,0.004,5.21,0.1,5.3,0.4,,Pollen present,400.58,BART
