site,date,timeEST,NO3,DOC
RG22,11/18/2013,10:10,0.6946,0.5793
RG22,11/18/2013,10:10,0.6913,0.5341
RG22,11/25/2013,9:35,1.4266,1.0294
RG22,12/2/2013,8:50,0.3199,0.2413
RG22,12/10/2013,8:30,1.6129,0.9063
RG22,12/10/2013,8:30,1.2378,0.744
RG22,12/16/2013,8:30,0.6143,0.1761
RG22,12/24/2013,8:30,1.6959,0.8141
RG22,12/31/2013,9:00,0.6316,0.1795
RG22,12/31/2013,9:00,0.703,0.1834
RG22,1/7/2014,10:45,0.5429,0.3048
RG22,1/13/2014,8:45,0.4142,0.1643
RG22,1/20/2014,9:00,2.2454,0.597
RG22,1/20/2014,9:00,2.1868,0.5983
RG22,1/28/2014,9:30,3.9993,1.3664
RG22,2/3/2014,8:45,4.6965,2.955
RG22,2/10/2014,9:00,0.771,0.2731
RG22,2/17/2014,8:40,0.3691,0.3425
RG22,2/24/2014,9:05,1.0472,0.6262
RG22,2/24/2014,9:05,1.0027,0.6031
RG22,3/3/2014,9:00,,
RG22,3/17/2014,8:00,1.2507,0.7506
RG22,3/17/2014,8:00,1.2413,0.8294
RG22,3/24/2014,7:50,0.5837,0.4269
RG22,3/31/2014,7:50,0.4309,0.4006
RG22,4/7/2014,7:50,0.8926,0.8954
RG22,4/14/2014,7:50,1.7226,1.3179
RG22,4/14/2014,7:50,1.7003,1.3438
RG22,4/21/2014,7:45,0.3355,0.7121
RG22,4/28/2014,7:40,1.7567,3.3856
RG22,5/6/2014,7:00,0.5855,1.0057
RG22,5/6/2014,7:00,0.5746,1.1815
RG22,5/12/2014,7:45,2.5023,2.8225
RG22,5/19/2014,8:00,0.9547,0.9298
RG22,5/26/2014,11:20,0.9937,2.3291
RG22,6/2/2014,8:05,1.1241,6.7282
RG22,6/16/2014,7:55,0.7661,1.0635
RG22,6/23/2014,7:00,1.3737,2.6958
RG22,6/30/2014,7:15,0.0669,0.5655
RG22,7/7/2014,12:50,0.7922,1.7016
RG22,7/7/2014,12:50,0.7822,1.6639
RG22,7/14/2014,7:15,0.9968,1.9384
RG22,7/21/2014,6:40,0.3929,1.046
RG22,7/29/2014,7:30,0.4918,1.1142
RG22,7/29/2014,7:30,0.5079,1.0127
RG22,8/18/2014,7:20,0.1519,0.5938
RG22,9/1/2014,8:50,0.6184,3.362
RG22,9/8/2014,7:45,0.2401,1.4053
RG22,9/22/2014,7:50,0.9873,3.3161
RG22,10/6/2014,8:00,0.4291,2.2881
RG22,10/13/2014,7:50,0.8582,0.9758
RG22,10/13/2014,7:50,0.8728,0.9838
RG22,10/20/2014,7:30,0.3053,0.5297
RG22,10/27/2014,7:30,0.6781,1.0741
RG22,11/3/2014,8:40,1.6792,2.7712
RG22,11/10/2014,9:00,1.0042,0.6875
RG22,11/18/2014,8:30,0.7274,0.4697
RG22,11/25/2014,9:25,0.3545,0.3794
RG22,12/1/2014,9:05,0.182,0.2416
RG22,12/8/2014,14:00,0.2797,0.254
RG22,12/15/2014,8:55,0.07,0.1578
RG22,12/22/2014,8:45,1.1217,0.4031
RG22,12/29/2014,8:40,0.2595,0.1971
RG22,1/5/2015,8:50,0.1924,0.363
RG22,1/12/2015,11:15,3.0252,0.6501
RG22,1/20/2015,9:05,0.4228,0.2786
RG22,1/26/2015,8:50,,
RG22,2/3/2015,8:10,1.1534,0.3151
RG22,2/10/2015,11:20,2.348,0.6989
RG22,2/17/2015,9:25,2.7591,2.3006
RG22,2/23/2015,9:25,1.2133,0.4188
RG22,3/2/2015,9:25,2.3028,0.5394
RG22,3/9/2015,7:55,,
RG22,3/16/2015,7:30,0.5325,0.5756
RG22,3/23/2015,8:40,3.8524,2.2796
RG22,3/31/2015,7:50,2.4662,1.6809
RG22,4/6/2015,8:10,2.1212,1.6875
RG22,4/13/2015,8:15,1.388,0.9298
RG22,4/20/2015,8:30,,
RG22,4/27/2015,7:45,,
RG22,5/4/2015,7:45,,
RG22,5/13/2015,13:35,1.7934,14.5829
RG22,5/18/2015,8:50,,
RG22,6/3/2015,10:45,0.4316,2.2622
RG22,6/16/2015,9:15,,
RG22,6/22/2015,8:00,0.3081,0.9137
RG22,6/29/2015,8:25,0.3278,1.2309
RG22,7/6/2015,9:05,0.7208,1.6104
RG22,7/13/2015,8:45,,
RG22,7/20/2015,8:40,0.4393,0.9094
RG22,7/27/2015,9:40,,
RG22,8/3/2015,8:15,0.7056,2.9387
RG22,8/10/2015,14:00,0.5224,3.7005
RG22,8/17/2015,13:50,0.1665,1.2951
RG22,8/24/2015,8:45,0.7087,
RG22,8/31/2015,7:30,1.292,1.9204
RG22,9/7/2015,13:30,,
RG22,9/14/2015,8:10,,
RG22,9/21/2015,7:50,,2.9819
RG22,9/28/2015,8:45,,
RG22,10/6/2015,8:30,0.0253,1.1696
RG22,10/12/2015,9:10,0.7525,0.8917
RG22,10/19/2015,8:00,,
RG22,10/26/2015,13:00,1.9404,2.1044
RG22,11/2/2015,8:45,0.2528,0.5092
RG22,11/9/2015,8:45,,
RG22,11/15/2015,8:35,0.876,0.9982
RG22,11/23/2015,9:10,0.3369,0.4229
RG22,11/30/2015,7:30,,
RG22,12/7/2015,7:40,0.2573,0.2548
RG22,12/16/2015,9:50,2.0042,1.0302
RG22,12/21/2015,8:30,0.8841,0.4458
RG22,12/28/2015,8:00,0.2509,0.3704
RG22,1/4/2016,8:30,0.4346,0.5406
RG22,1/11/2016,8:45,0.1052,0.2226
RG22,1/19/2016,9:00,1.3344,0.3787
RG22,1/25/2016,9:00,,
RG22,2/1/2016,9:30,,
RG22,2/8/2016,9:00,0.2854,0.3421
RG22,2/15/2016,9:15,1.4109,0.7484
RG22,2/22/2016,7:50,0.81,0.8244
RG22,2/29/2016,8:35,0.2291,0.3639
RG22,3/7/2016,8:40,0.5332,0.667
RG22,3/14/2016,7:40,0.5708,0.8623
RG22,3/22/2016,8:00,0.8824,0.7399
RG22,3/30/2016,7:30,0.8228,0.9516
RG22,4/5/2016,10:40,,
RG22,4/13/2016,10:00,,
RG22,4/18/2016,11:00,,
RG22,4/25/2016,8:20,,
RG22,5/2/2016,7:30,0.767,2.7059
RG22,5/9/2016,8:00,,
RG22,5/16/2016,7:45,0.8624,3.2834
RG22,5/23/2016,8:10,,
RG22,5/31/2016,8:05,0.2383,
RG22,6/6/2016,7:45,0.509,2.0605
RG22,6/13/2016,8:30,,
RG22,6/20/2016,8:05,0.0253,6.035
RG22,6/27/2016,8:30,0.7567,2.8159
RG22,7/5/2016,7:45,0.3848,1.5847
RG22,7/11/2016,8:15,0.7166,2.7456
RG22,7/17/2016,11:45,0.6712,2.0783
RG22,7/25/2016,8:10,0.439,4.4338
RG22,8/1/2016,8:20,,
RG22,8/8/2016,7:30,0.4301,11.6429
RG22,8/15/2016,8:10,0.6091,1.7286
RG22,8/22/2016,11:40,0.4967,2.5213
RG22,8/29/2016,8:30,0.5338,3.6335
RG22,9/6/2016,7:55,,
RG22,9/12/2016,8:30,0.7675,2.6448
RG22,9/20/2016,7:30,,
RG22,9/27/2016,8:30,0.8706,3.3123
RG22,10/3/2016,8:30,,
RG22,10/11/2016,7:55,0.1384,7.4512
RG22,10/17/2016,7:45,,
RG22,10/24/2016,11:00,0.4491,1.9865
RG22,10/31/2016,12:20,0.3886,0.7328
RG22,11/7/2016,10:20,0.6607,1.1929
RG22,11/14/2016,9:15,,
RG22,11/21/2016,9:00,0.396,0.7553
RG22,11/28/2016,9:00,1.2883,1.134
RG22,12/5/2016,9:30,0.5673,0.5578
RG22,12/12/2016,14:35,0.7932,0.4165
RG22,12/19/2016,8:40,0.8027,0.6594
RG22,12/27/2016,13:30,1.2119,0.688
RG22,1/2/2017,13:35,0.9479,0.5104
RG22,1/9/2017,9:20,0.3452,0.1883
RG22,1/17/2017,14:20,1.4502,0.5812
RG22,1/23/2017,9:10,1.0954,0.2733
RG22,1/30/2017,11:30,0.4777,0.3616
RG22,2/6/2017,9:25,4.8609,0.858
RG22,2/14/2017,9:15,0.8938,0.3768
RG22,2/21/2017,10:35,4.4256,1.0025
RG22,2/28/2017,13:15,0.8982,0.6428
RG22,3/6/2017,8:30,1.5033,0.8682
RG22,3/13/2017,9:45,5.1242,2.9805
RG22,3/20/2017,12:20,0.5249,0.5578
RG22,3/28/2017,11:05,1.2094,0.9158
RG22,4/3/2017,12:15,0.1645,0.1945
RG22,4/10/2017,9:00,0.927,0.3891
RG22,4/17/2017,8:10,,
RG22,4/24/2017,9:20,1.1053,2.565
RG22,5/1/2017,7:30,0.2443,3.8836
RG22,5/8/2017,7:40,0.5515,1.8278
RG22,5/15/2017,11:40,0.1686,2.0111
RG22,5/23/2017,8:50,,
RG22,5/30/2017,10:30,0.0253,1.8755
RG22,6/5/2017,7:30,0.5307,1.9387
RG22,6/12/2017,6:30,0.5354,2.4221
RG22,6/19/2017,7:30,1.7814,3.3362
RG22,6/26/2017,10:15,0.8235,4.3106
RG22,7/3/2017,10:55,0.3265,1.3794
RG22,7/10/2017,8:00,,
RG22,7/17/2017,6:35,1.1362,3.2876
RG22,7/25/2017,6:50,0.7198,5.8539
RG22,7/31/2017,8:00,,
